2012-07-12 10:42:19+0800 [scrapy] INFO: Scrapy 0.14.4 started (bot: coreSpider)
2012-07-12 10:42:29+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=business_other.htmdefault.aspx 
2012-07-12 10:42:29+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=business_other.htmbank/login.aspx 
2012-07-12 10:42:29+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=business_other.htmdefault.aspx?content=inside_contact.htm 
2012-07-12 10:42:29+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=business_other.htmfeedback.aspx 
2012-07-12 10:42:29+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=business_other.htmbank/login.aspx 
2012-07-12 10:42:29+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=business_other.htmdefault.aspx?content=personal.htm 
2012-07-12 10:42:29+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=business_other.htmdefault.aspx?content=business.htm 
2012-07-12 10:42:29+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=business_other.htmdefault.aspx?content=inside.htm 
2012-07-12 10:42:29+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=business_other.htmdefault.aspx?content=personal.htm 
2012-07-12 10:42:29+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=business_other.htmdefault.aspx?content=personal_deposit.htm 
2012-07-12 10:42:29+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=business_other.htmdefault.aspx?content=personal_checking.htm 
2012-07-12 10:42:29+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=business_other.htmdefault.aspx?content=personal_loans.htm 
2012-07-12 10:42:29+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=business_other.htmdefault.aspx?content=personal_cards.htm 
2012-07-12 10:42:29+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=business_other.htmdefault.aspx?content=personal_investments.htm 
2012-07-12 10:42:29+0800 [coreSpider] DEBUG: Ignoring link (depth > 1): http://demo.testfire.net/default.aspx?content=business_other.htmdefault.aspx?content=personal_other.htm 
